invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
12165,44140,0,28,1,5,1500.4,1,687,4
67813,3630,1,21,4,3,1800.51,2,86,2
8722,52143,1,20,1,1,300.08,0,776,6
74054,27838,0,53,0,4,60.6,0,438,4
39834,86821,0,28,1,5,1500.4,1,429,2
6651,16007,0,49,2,1,40.66,0,112,3
60273,23808,0,32,1,2,600.16,1,105,5
60366,18649,1,69,1,3,900.24,1,641,6
70913,57470,0,60,1,2,600.16,1,382,4
64357,43818,0,36,3,2,10.46,0,469,6
12259,28672,0,29,0,1,15.15,1,543,1
86211,39199,0,67,7,4,143.36,2,629,6
73810,83106,0,67,1,2,600.16,1,591,4
60756,62921,1,65,0,2,30.3,2,183,6
29849,72191,0,42,3,3,15.69,1,664,9
99219,36973,0,46,1,2,600.16,0,484,7
26144,37597,1,23,1,1,300.08,1,162,1
23178,32739,0,42,0,5,75.75,0,208,6
29737,58019,1,51,7,2,71.68,2,193,3
30131,59382,0,25,2,5,203.3,1,323,5
36481,28876,1,50,4,4,2400.68,0,31,1
34236,47312,1,29,2,3,121.98,1,553,3
19306,18500,0,66,7,3,107.52,2,658,5
72422,81098,1,23,1,1,300.08,1,362,1
90979,23986,0,32,4,3,1800.51,1,396,4
2876,41418,1,51,1,4,1200.32,2,73,6
20993,20054,0,66,4,4,2400.68,1,612,9
74932,55381,1,68,3,1,5.23,1,638,1
14767,45461,1,43,1,5,1500.4,1,353,4
27302,79261,0,59,1,2,600.16,1,766,6
2111,32662,1,54,1,2,600.16,0,500,4
80069,79369,1,24,1,1,300.08,0,286,7
45641,89051,0,49,3,3,15.69,0,51,9
12099,17215,1,67,2,2,81.32,1,135,7
90367,64792,0,48,2,3,121.98,0,531,6
93125,85014,0,40,4,4,2400.68,0,327,6
61139,6267,0,41,4,3,1800.51,1,349,4
5450,10744,1,46,0,5,75.75,1,779,9
52237,68232,0,19,2,3,121.98,1,81,5
32812,44263,0,43,1,4,1200.32,2,723,9
52982,8239,1,18,2,3,121.98,2,727,9
63714,86669,0,22,0,5,75.75,2,117,2
45643,39735,0,61,2,5,203.3,0,408,1
31877,68122,0,41,0,3,45.45,0,423,3
87105,42880,0,53,2,2,81.32,1,81,3
11812,10482,0,45,3,3,15.69,2,91,8
15168,93713,0,29,1,1,300.08,0,288,3
49369,35622,1,43,7,2,71.68,0,492,4
62450,98102,0,19,1,4,1200.32,1,348,4
51159,3843,0,67,3,3,15.69,0,404,4
73658,18398,0,36,0,4,60.6,0,155,4
10359,74047,1,64,1,5,1500.4,1,790,5
33424,89028,0,33,1,1,300.08,2,492,4
34098,78832,0,33,1,4,1200.32,1,672,4
17880,7273,1,66,1,4,1200.32,0,703,5
36947,39010,0,29,2,4,162.64,2,788,7
25321,6074,1,22,7,3,107.52,0,230,5
32687,22863,0,24,5,5,58.65,2,137,3
4787,8388,0,24,2,5,203.3,0,505,6
47212,80792,0,47,2,4,162.64,0,661,4
60012,3098,1,38,3,5,26.15,0,357,5
50124,49511,1,67,7,3,107.52,0,719,1
89876,31235,0,40,1,5,1500.4,2,217,4
5006,11156,0,69,4,4,2400.68,0,661,6
28239,84974,0,47,3,5,26.15,0,329,5
65356,3650,0,53,3,4,20.92,1,145,3
64259,87638,1,40,7,2,71.68,0,6,1
69216,82593,1,60,2,4,162.64,1,692,6
16080,21454,1,30,5,2,23.46,0,450,4
75020,21799,0,66,1,2,600.16,1,770,3
46584,18201,1,22,3,1,5.23,0,239,5
39802,82986,1,53,3,2,10.46,0,374,4
12701,37050,0,52,1,5,1500.4,0,178,9
2645,48152,1,66,3,1,5.23,0,737,5
29800,99182,1,65,1,4,1200.32,2,368,7
59207,84159,0,43,6,2,2100.0,0,383,4
89238,17851,0,59,7,1,35.84,2,574,4
67740,24381,0,30,5,5,58.65,2,559,4
36081,93307,0,25,2,2,81.32,2,208,6
17002,92449,0,29,7,3,107.52,2,590,5
61517,25962,1,62,1,5,1500.4,1,635,7
16854,83552,1,39,3,3,15.69,0,794,2
57074,57344,0,33,1,3,900.24,0,629,4
94628,25642,0,26,3,4,20.92,2,653,5
29096,44587,0,40,3,3,15.69,2,417,4
98948,70391,1,55,1,4,1200.32,1,420,4
31255,65172,0,24,1,5,1500.4,1,149,8
48926,16431,1,24,2,1,40.66,0,646,6
92021,3724,0,30,3,5,26.15,1,691,6
38752,32629,1,34,1,5,1500.4,1,10,5
74672,96055,0,57,1,5,1500.4,0,359,5
60305,20860,1,18,2,4,162.64,1,86,3
15572,55108,0,26,1,4,1200.32,0,356,9
3058,57243,0,19,3,3,15.69,2,747,1
62322,92948,0,22,0,3,45.45,0,388,4
18021,72515,1,48,1,1,300.08,0,268,4
67754,71027,0,56,5,5,58.65,0,282,3
14854,64692,1,35,1,2,600.16,0,80,8
55589,95247,0,60,7,4,143.36,2,736,6
10808,3977,0,32,1,1,300.08,1,159,2
68947,54746,1,27,1,4,1200.32,1,58,4
89915,31199,0,56,1,2,600.16,1,359,3
