customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score
49731,1,1,600.17,5,3,3,533
49732,1,1,1200.32,5,3,3,533
49733,1,1,7502.0,5,3,4,534
49734,1,1,4801.28,5,3,4,534
49736,1,1,2700.7200000000003,5,3,3,533
49740,1,1,9602.72,5,3,4,534
49745,1,1,1200.32,5,3,3,533
49747,1,1,7502.0,5,3,4,534
49749,1,1,7502.0,5,3,4,534
49751,1,1,4801.28,5,3,4,534
49753,1,1,2700.7200000000003,5,3,3,533
49754,1,1,2700.7200000000003,5,3,3,533
49756,1,1,2400.68,5,3,3,533
49760,1,1,7502.0,5,3,4,534
49761,1,1,5401.53,5,3,4,534
49762,1,1,1016.5,5,3,3,533
49763,1,1,4801.28,5,3,4,534
49768,1,1,9602.72,5,3,4,534
49771,1,1,650.56,5,3,3,533
49773,1,1,1016.5,5,3,3,533
49774,1,1,1016.5,5,3,3,533
49777,1,1,2700.7200000000003,5,3,3,533
49780,1,1,2700.7200000000003,5,3,3,533
49781,1,1,650.56,5,3,3,533
49783,1,1,650.56,5,3,3,533
49784,1,1,2700.7200000000003,5,3,3,533
49790,1,1,7502.0,5,3,4,534
49801,1,1,7502.0,5,3,4,534
49804,1,1,4801.28,5,3,4,534
49805,1,1,1016.5,5,3,3,533
49809,1,1,4801.28,5,3,4,534
49810,1,1,650.56,5,3,3,533
49811,1,1,1200.32,5,3,3,533
49812,1,1,650.56,5,3,3,533
49814,1,1,9602.72,5,3,4,534
49817,1,1,600.17,5,3,3,533
49821,1,1,7502.0,5,3,4,534
49824,1,1,5401.53,5,3,4,534
49826,1,1,1016.5,5,3,3,533
49827,1,1,1200.32,5,3,3,533
49829,1,1,7502.0,5,3,4,534
49830,1,1,2700.7200000000003,5,3,3,533
49831,1,1,4801.28,5,3,4,534
49832,1,1,2400.68,5,3,3,533
49833,1,1,1200.32,5,3,3,533
49835,1,1,2700.7200000000003,5,3,3,533
49836,1,1,4200.0,5,3,4,534
49837,1,1,9602.72,5,3,4,534
49838,1,1,1200.32,5,3,3,533
49840,1,1,4801.28,5,3,4,534
49841,1,1,4200.0,5,3,4,534
49844,1,1,1016.5,5,3,3,533
49845,1,1,7502.0,5,3,4,534
49846,1,1,1200.32,5,3,3,533
49848,1,1,650.56,5,3,3,533
49849,1,1,7502.0,5,3,4,534
49850,1,1,650.56,5,3,3,533
49853,1,1,4801.28,5,3,4,534
49856,1,1,1200.32,5,3,3,533
49862,1,1,2700.7200000000003,5,3,3,533
49863,1,1,7502.0,5,3,4,534
49869,1,1,650.56,5,3,3,533
49870,1,1,4801.28,5,3,4,534
49874,1,1,650.56,5,3,3,533
49877,1,1,896.0,5,3,3,533
49880,1,1,650.56,5,3,3,533
49881,1,1,600.17,5,3,3,533
49884,1,1,5401.53,5,3,4,534
49886,1,1,7502.0,5,3,4,534
49888,1,1,2700.7200000000003,5,3,3,533
49893,1,1,7502.0,5,3,4,534
49895,1,1,2700.7200000000003,5,3,3,533
49896,1,1,5401.53,5,3,4,534
49897,1,1,2700.7200000000003,5,3,3,533
49898,1,1,7502.0,5,3,4,534
49899,1,1,4801.28,5,3,4,534
49902,1,1,896.0,5,3,3,533
49903,1,1,2700.7200000000003,5,3,3,533
49904,1,1,4801.28,5,3,4,534
49905,1,1,2700.7200000000003,5,3,3,533
49907,1,1,600.17,5,3,3,533
49908,1,1,2700.7200000000003,5,3,3,533
49909,1,1,2400.68,5,3,3,533
49912,1,1,2700.7200000000003,5,3,3,533
49914,1,1,7502.0,5,3,4,534
49915,1,1,1200.32,5,3,3,533
49916,1,1,4801.28,5,3,4,534
49919,1,1,2700.7200000000003,5,3,3,533
49922,1,1,1200.32,5,3,3,533
49924,1,1,1016.5,5,3,3,533
49926,1,1,4801.28,5,3,4,534
49930,1,1,650.56,5,3,3,533
49932,1,1,9602.72,5,3,4,534
49933,1,1,4801.28,5,3,4,534
49934,1,1,1050.0,5,3,3,533
49937,1,1,4801.28,5,3,4,534
49938,1,1,7502.0,5,3,4,534
49941,1,1,9602.72,5,3,4,534
49944,1,1,4801.28,5,3,4,534
49945,1,1,2700.7200000000003,5,3,3,533
49948,1,1,1016.5,5,3,3,533
49950,1,1,4801.28,5,3,4,534
49951,1,1,4801.28,5,3,4,534
49953,1,1,5401.53,5,3,4,534
49954,1,1,4801.28,5,3,4,534
49955,1,1,4801.28,5,3,4,534
49957,1,1,2700.7200000000003,5,3,3,533
49958,1,1,1016.5,5,3,3,533
49963,1,1,650.56,5,3,3,533
49965,1,1,1200.32,5,3,3,533
49966,1,1,1016.5,5,3,3,533
49972,1,1,1200.32,5,3,3,533
49974,1,1,650.56,5,3,3,533
49977,1,1,7502.0,5,3,4,534
49979,1,1,2700.7200000000003,5,3,3,533
49981,1,1,2700.7200000000003,5,3,3,533
49983,1,1,1200.32,5,3,3,533
49985,1,1,2700.7200000000003,5,3,3,533
49990,1,1,4200.0,5,3,4,534
49993,1,1,2700.7200000000003,5,3,3,533
49994,1,1,4801.28,5,3,4,534
49995,1,1,1016.5,5,3,3,533
49999,1,1,1016.5,5,3,3,533
50002,1,1,5401.53,5,3,4,534
50005,1,1,7502.0,5,3,4,534
50010,1,1,7502.0,5,3,4,534
50019,1,1,7502.0,5,3,4,534
50027,1,1,2700.7200000000003,5,3,3,533
50028,1,1,4200.0,5,3,4,534
50029,1,1,1200.32,5,3,3,533
