invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,Cluster
12165,44140,0,28,1,5,1500.4,1,687,4,2
67813,3630,1,21,4,3,1800.51,2,86,2,1
8722,52143,1,20,1,1,300.08,0,776,6,0
74054,27838,0,53,0,4,60.6,0,438,4,1
39834,86821,0,28,1,5,1500.4,1,429,2,0
6651,16007,0,49,2,1,40.66,0,112,3,2
60273,23808,0,32,1,2,600.16,1,105,5,1
60366,18649,1,69,1,3,900.24,1,641,6,1
70913,57470,0,60,1,2,600.16,1,382,4,3
64357,43818,0,36,3,2,10.46,0,469,6,1
12259,28672,0,29,0,1,15.15,1,543,1,2
86211,39199,0,67,7,4,143.36,2,629,6,1
73810,83106,0,67,1,2,600.16,1,591,4,3
60756,62921,1,65,0,2,30.3,2,183,6,3
29849,72191,0,42,3,3,15.69,1,664,9,0
99219,36973,0,46,1,2,600.16,0,484,7,1
26144,37597,1,23,1,1,300.08,1,162,1,2
23178,32739,0,42,0,5,75.75,0,208,6,2
29737,58019,1,51,7,2,71.68,2,193,3,0
30131,59382,0,25,2,5,203.3,1,323,5,0
36481,28876,1,50,4,4,2400.68,0,31,1,2
34236,47312,1,29,2,3,121.98,1,553,3,2
19306,18500,0,66,7,3,107.52,2,658,5,2
72422,81098,1,23,1,1,300.08,1,362,1,3
90979,23986,0,32,4,3,1800.51,1,396,4,1
2876,41418,1,51,1,4,1200.32,2,73,6,2
20993,20054,0,66,4,4,2400.68,1,612,9,2
74932,55381,1,68,3,1,5.23,1,638,1,3
14767,45461,1,43,1,5,1500.4,1,353,4,2
27302,79261,0,59,1,2,600.16,1,766,6,0
2111,32662,1,54,1,2,600.16,0,500,4,2
80069,79369,1,24,1,1,300.08,0,286,7,3
45641,89051,0,49,3,3,15.69,0,51,9,0
12099,17215,1,67,2,2,81.32,1,135,7,2
90367,64792,0,48,2,3,121.98,0,531,6,3
93125,85014,0,40,4,4,2400.68,0,327,6,3
61139,6267,0,41,4,3,1800.51,1,349,4,1
5450,10744,1,46,0,5,75.75,1,779,9,2
52237,68232,0,19,2,3,121.98,1,81,5,3
32812,44263,0,43,1,4,1200.32,2,723,9,2
52982,8239,1,18,2,3,121.98,2,727,9,1
63714,86669,0,22,0,5,75.75,2,117,2,3
45643,39735,0,61,2,5,203.3,0,408,1,2
31877,68122,0,41,0,3,45.45,0,423,3,0
87105,42880,0,53,2,2,81.32,1,81,3,1
11812,10482,0,45,3,3,15.69,2,91,8,2
15168,93713,0,29,1,1,300.08,0,288,3,0
49369,35622,1,43,7,2,71.68,0,492,4,2
62450,98102,0,19,1,4,1200.32,1,348,4,3
